vessel_id,vessel_name,vessel_type,vessel_age_years,vessel_capacity_teu,date,year,month,charter_rate_usd_day,charter_type,charterer_name,operating_days,off_hire_days,utilization_rate_pct,gross_revenue_usd,opex_usd,voyage_costs_usd,ebitda_usd,tce_usd_day,opex_per_day_usd,profit_margin_pct
V001,Aegean Pioneer,Feeder,6,1200,2007-01-01,2007,1,13236,Spot,Wan Hai Lines,27.8,2.2,92.61,367961.0,124680.0,5498.0,237783.0,12082.1,4156,64.62
V001,Aegean Pioneer,Feeder,6,1200,2007-02-01,2007,2,13346,Time Charter,MSC,27.8,2.2,92.64,371019.0,130920.0,0.0,240099.0,12367.3,4364,64.71
V001,Aegean Pioneer,Feeder,6,1200,2007-03-01,2007,3,13847,Time Charter,Maersk Line,28.2,1.8,93.87,390485.0,125850.0,0.0,264635.0,13016.17,4195,67.77
V001,Aegean Pioneer,Feeder,6,1200,2007-04-01,2007,4,14410,Time Charter,Zim Integrated Shipping,27.8,2.2,92.77,400598.0,122100.0,0.0,278498.0,13353.27,4070,69.52
V001,Aegean Pioneer,Feeder,6,1200,2007-05-01,2007,5,14151,Time Charter,Evergreen Marine,28.3,1.7,94.2,400473.0,127320.0,0.0,273153.0,13349.1,4244,68.21
V001,Aegean Pioneer,Feeder,6,1200,2007-06-01,2007,6,14308,Spot,COSCO Shipping,27.6,2.4,91.87,394901.0,127530.0,7803.0,259568.0,12903.27,4251,65.73
V001,Aegean Pioneer,Feeder,6,1200,2007-07-01,2007,7,15199,Spot,COSCO Shipping,27.8,2.2,92.77,422532.0,133230.0,6928.0,282374.0,13853.47,4441,66.83
V001,Aegean Pioneer,Feeder,6,1200,2007-08-01,2007,8,15239,Time Charter,CMA CGM,28.2,1.8,94.16,429740.0,133560.0,0.0,296180.0,14324.67,4452,68.92
V001,Aegean Pioneer,Feeder,6,1200,2007-09-01,2007,9,15167,Time Charter,Zim Integrated Shipping,28.1,1.9,93.77,426193.0,130500.0,0.0,295693.0,14206.43,4350,69.38
V001,Aegean Pioneer,Feeder,6,1200,2007-10-01,2007,10,15660,Spot,MSC,28.3,1.7,94.21,443178.0,127110.0,6395.0,309673.0,14559.43,4237,69.88
V001,Aegean Pioneer,Feeder,6,1200,2007-11-01,2007,11,15745,Time Charter,Wan Hai Lines,27.8,2.2,92.71,437711.0,127710.0,0.0,310001.0,14590.37,4257,70.82
V001,Aegean Pioneer,Feeder,6,1200,2007-12-01,2007,12,15977,Time Charter,Zim Integrated Shipping,28.2,1.8,93.87,450551.0,128160.0,0.0,322391.0,15018.37,4272,71.55
V001,Aegean Pioneer,Feeder,7,1200,2008-01-01,2008,1,16000,Time Charter,Pacific International Lines,27.8,2.2,92.79,444800.0,129630.0,0.0,315170.0,14826.67,4321,70.86
V001,Aegean Pioneer,Feeder,7,1200,2008-02-01,2008,2,15598,Time Charter,HMM,27.6,2.4,91.94,430505.0,122940.0,0.0,307565.0,14350.17,4098,71.44
V001,Aegean Pioneer,Feeder,7,1200,2008-03-01,2008,3,16114,Time Charter,MSC,28.5,1.5,94.97,459249.0,124140.0,0.0,335109.0,15308.3,4138,72.97
V001,Aegean Pioneer,Feeder,7,1200,2008-04-01,2008,4,16787,Time Charter,PIL,27.9,2.1,93.07,468357.0,126570.0,0.0,341787.0,15611.9,4219,72.98
V001,Aegean Pioneer,Feeder,7,1200,2008-05-01,2008,5,17106,Time Charter,ONE (Ocean Network Express),28.3,1.7,94.23,484100.0,122940.0,0.0,361160.0,16136.67,4098,74.6
V001,Aegean Pioneer,Feeder,7,1200,2008-06-01,2008,6,18118,Spot,Maersk Line,27.8,2.2,92.7,503680.0,131340.0,4624.0,367716.0,16635.2,4378,73.01
V001,Aegean Pioneer,Feeder,7,1200,2008-07-01,2008,7,17989,Time Charter,Maersk Line,27.3,2.7,90.97,491100.0,128100.0,0.0,363000.0,16370.0,4270,73.92
V001,Aegean Pioneer,Feeder,7,1200,2008-08-01,2008,8,18371,Time Charter,MSC,27.2,2.8,90.71,499691.0,126810.0,0.0,372881.0,16656.37,4227,74.62
V001,Aegean Pioneer,Feeder,7,1200,2008-09-01,2008,9,16492,Time Charter,COSCO Shipping,27.5,2.5,91.82,453530.0,132720.0,0.0,320810.0,15117.67,4424,70.74
V001,Aegean Pioneer,Feeder,7,1200,2008-10-01,2008,10,13227,Time Charter,COSCO Shipping,28.6,1.4,95.22,378292.0,131220.0,0.0,247072.0,12609.73,4374,65.31
V001,Aegean Pioneer,Feeder,7,1200,2008-11-01,2008,11,10616,Spot,HMM,27.9,2.1,92.98,296186.0,130800.0,4624.0,160762.0,9718.73,4360,54.28
V001,Aegean Pioneer,Feeder,7,1200,2008-12-01,2008,12,7460,Time Charter,PIL,26.6,3.4,88.57,198436.0,129390.0,0.0,69046.0,6614.53,4313,34.8
V001,Aegean Pioneer,Feeder,8,1200,2009-01-01,2009,1,2647,Time Charter,Maersk Line,24.3,5.7,81.16,64322.0,132540.0,0.0,-68218.0,2144.07,4418,-106.06
V001,Aegean Pioneer,Feeder,8,1200,2009-02-01,2009,2,3162,Time Charter,HMM,24.5,5.5,81.67,77469.0,131250.0,0.0,-53781.0,2582.3,4375,-69.42
V001,Aegean Pioneer,Feeder,8,1200,2009-03-01,2009,3,2974,Time Charter,COSCO Shipping,24.5,5.5,81.65,72863.0,135750.0,0.0,-62887.0,2428.77,4525,-86.31
V001,Aegean Pioneer,Feeder,8,1200,2009-04-01,2009,4,3771,Time Charter,Zim Integrated Shipping,25.4,4.6,84.67,95783.0,129420.0,0.0,-33637.0,3192.77,4314,-35.12
V001,Aegean Pioneer,Feeder,8,1200,2009-05-01,2009,5,3655,Time Charter,Wan Hai Lines,24.5,5.5,81.78,89548.0,133950.0,0.0,-44402.0,2984.93,4465,-49.58
V001,Aegean Pioneer,Feeder,8,1200,2009-06-01,2009,6,3977,Time Charter,Zim Integrated Shipping,24.0,6.0,80.16,95448.0,138510.0,0.0,-43062.0,3181.6,4617,-45.12
V001,Aegean Pioneer,Feeder,8,1200,2009-07-01,2009,7,4048,Time Charter,HMM,26.1,3.9,87.04,105653.0,142140.0,0.0,-36487.0,3521.77,4738,-34.53
V001,Aegean Pioneer,Feeder,8,1200,2009-08-01,2009,8,5098,Time Charter,ONE (Ocean Network Express),26.5,3.5,88.36,135097.0,136560.0,0.0,-1463.0,4503.23,4552,-1.08
V001,Aegean Pioneer,Feeder,8,1200,2009-09-01,2009,9,4650,Time Charter,COSCO Shipping,26.2,3.8,87.3,121830.0,131610.0,0.0,-9780.0,4061.0,4387,-8.03
V001,Aegean Pioneer,Feeder,8,1200,2009-10-01,2009,10,4497,Spot,Yang Ming,26.1,3.9,87.09,117372.0,131640.0,4232.0,-18500.0,3771.33,4388,-15.76
V001,Aegean Pioneer,Feeder,8,1200,2009-11-01,2009,11,5352,Time Charter,PIL,26.5,3.5,88.4,141828.0,126510.0,0.0,15318.0,4727.6,4217,10.8
V001,Aegean Pioneer,Feeder,8,1200,2009-12-01,2009,12,4821,Time Charter,Evergreen Marine,26.7,3.3,88.83,128721.0,127710.0,0.0,1011.0,4290.7,4257,0.79
V001,Aegean Pioneer,Feeder,9,1200,2010-01-01,2010,1,4997,Time Charter,KMTC,26.6,3.4,88.67,132920.0,135480.0,0.0,-2560.0,4430.67,4516,-1.93
V001,Aegean Pioneer,Feeder,9,1200,2010-02-01,2010,2,4435,Time Charter,Sinokor Merchant Marine,26.1,3.9,86.9,115754.0,138060.0,0.0,-22306.0,3858.47,4602,-19.27
V001,Aegean Pioneer,Feeder,9,1200,2010-03-01,2010,3,4811,Spot,Maersk Line,26.8,3.2,89.31,128935.0,140370.0,7465.0,-18900.0,4049.0,4679,-14.66
V001,Aegean Pioneer,Feeder,9,1200,2010-04-01,2010,4,5479,Spot,KMTC,26.4,3.6,88.09,144646.0,130380.0,6404.0,7862.0,4608.07,4346,5.44
V001,Aegean Pioneer,Feeder,9,1200,2010-05-01,2010,5,5884,Time Charter,KMTC,26.5,3.5,88.23,155926.0,137160.0,0.0,18766.0,5197.53,4572,12.04
V001,Aegean Pioneer,Feeder,9,1200,2010-06-01,2010,6,5811,Time Charter,CMA CGM,26.0,4.0,86.72,151086.0,137880.0,0.0,13206.0,5036.2,4596,8.74
V001,Aegean Pioneer,Feeder,9,1200,2010-07-01,2010,7,5816,Time Charter,Zim Integrated Shipping,26.0,4.0,86.68,151216.0,137610.0,0.0,13606.0,5040.53,4587,9.0
V001,Aegean Pioneer,Feeder,9,1200,2010-08-01,2010,8,5979,Spot,ONE (Ocean Network Express),26.5,3.5,88.3,158444.0,135810.0,6832.0,15802.0,5053.73,4527,9.97
V001,Aegean Pioneer,Feeder,9,1200,2010-09-01,2010,9,5733,Spot,Hapag-Lloyd,26.7,3.3,89.1,153071.0,135300.0,4082.0,13689.0,4966.3,4510,8.94
V001,Aegean Pioneer,Feeder,9,1200,2010-10-01,2010,10,6159,Time Charter,Evergreen Marine,26.2,3.8,87.39,161366.0,137940.0,0.0,23426.0,5378.87,4598,14.52
V001,Aegean Pioneer,Feeder,9,1200,2010-11-01,2010,11,6398,Time Charter,CMA CGM,26.4,3.6,88.03,168907.0,132300.0,0.0,36607.0,5630.23,4410,21.67
V001,Aegean Pioneer,Feeder,9,1200,2010-12-01,2010,12,7041,Spot,COSCO Shipping,27.3,2.7,90.96,192219.0,136440.0,7880.0,47899.0,6144.63,4548,24.92
V001,Aegean Pioneer,Feeder,10,1200,2011-01-01,2011,1,6600,Time Charter,KMTC,26.0,4.0,86.72,171600.0,134130.0,0.0,37470.0,5720.0,4471,21.84
V001,Aegean Pioneer,Feeder,10,1200,2011-02-01,2011,2,5985,Time Charter,Hapag-Lloyd,25.8,4.2,85.84,154413.0,139290.0,0.0,15123.0,5147.1,4643,9.79
V001,Aegean Pioneer,Feeder,10,1200,2011-03-01,2011,3,6690,Time Charter,MSC,26.0,4.0,86.55,173940.0,138540.0,0.0,35400.0,5798.0,4618,20.35
V001,Aegean Pioneer,Feeder,10,1200,2011-04-01,2011,4,6519,Spot,MSC,26.2,3.8,87.17,170798.0,140670.0,7330.0,22798.0,5448.93,4689,13.35
V001,Aegean Pioneer,Feeder,10,1200,2011-05-01,2011,5,6526,Time Charter,ONE (Ocean Network Express),26.2,3.8,87.26,170981.0,137820.0,0.0,33161.0,5699.37,4594,19.39
V001,Aegean Pioneer,Feeder,10,1200,2011-06-01,2011,6,7006,Spot,MSC,25.8,4.2,86.16,180755.0,136320.0,4849.0,39586.0,5863.53,4544,21.9
V001,Aegean Pioneer,Feeder,10,1200,2011-07-01,2011,7,7133,Time Charter,Hapag-Lloyd,25.9,4.1,86.36,184745.0,142620.0,0.0,42125.0,6158.17,4754,22.8
V001,Aegean Pioneer,Feeder,10,1200,2011-08-01,2011,8,7280,Time Charter,Sinokor Merchant Marine,26.7,3.3,89.05,194376.0,137880.0,0.0,56496.0,6479.2,4596,29.07
V001,Aegean Pioneer,Feeder,10,1200,2011-09-01,2011,9,6714,Time Charter,Hapag-Lloyd,26.2,3.8,87.34,175907.0,129300.0,0.0,46607.0,5863.57,4310,26.5
V001,Aegean Pioneer,Feeder,10,1200,2011-10-01,2011,10,6936,Spot,PIL,25.7,4.3,85.65,178255.0,138960.0,4727.0,34568.0,5784.27,4632,19.39
V001,Aegean Pioneer,Feeder,10,1200,2011-11-01,2011,11,7241,Spot,Evergreen Marine,26.2,3.8,87.47,189714.0,135540.0,4734.0,49440.0,6166.0,4518,26.06
V001,Aegean Pioneer,Feeder,10,1200,2011-12-01,2011,12,7440,Spot,KMTC,26.1,3.9,86.95,194184.0,137400.0,5217.0,51567.0,6298.9,4580,26.56
V001,Aegean Pioneer,Feeder,11,1200,2012-01-01,2012,1,6556,Time Charter,Maersk Line,26.2,3.8,87.27,171767.0,150060.0,0.0,21707.0,5725.57,5002,12.64
V001,Aegean Pioneer,Feeder,11,1200,2012-02-01,2012,2,6560,Spot,Zim Integrated Shipping,26.9,3.1,89.69,176464.0,149610.0,6099.0,20755.0,5678.83,4987,11.76
V001,Aegean Pioneer,Feeder,11,1200,2012-03-01,2012,3,6198,Time Charter,Yang Ming,26.4,3.6,88.04,163627.0,152010.0,0.0,11617.0,5454.23,5067,7.1
V001,Aegean Pioneer,Feeder,11,1200,2012-04-01,2012,4,6036,Time Charter,HMM,26.3,3.7,87.73,158747.0,152640.0,0.0,6107.0,5291.57,5088,3.85
V001,Aegean Pioneer,Feeder,11,1200,2012-05-01,2012,5,6564,Time Charter,MSC,25.9,4.1,86.38,170008.0,146820.0,0.0,23188.0,5666.93,4894,13.64
V001,Aegean Pioneer,Feeder,11,1200,2012-06-01,2012,6,6673,Time Charter,Pacific International Lines,26.2,3.8,87.46,174833.0,150510.0,0.0,24323.0,5827.77,5017,13.91
V001,Aegean Pioneer,Feeder,11,1200,2012-07-01,2012,7,6117,Time Charter,ONE (Ocean Network Express),26.8,3.2,89.2,163936.0,148830.0,0.0,15106.0,5464.53,4961,9.21
V001,Aegean Pioneer,Feeder,11,1200,2012-08-01,2012,8,6295,Time Charter,MSC,26.5,3.5,88.34,166818.0,144210.0,0.0,22608.0,5560.6,4807,13.55
